PartID,PartDescription,PartBinAddress,PartBarCode,Product Class,Current Stock,On Order,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26
Em-3886,Honda Accord 93-97 LH mount,4-B-10-2,9346140004463,04 Bronze,9,0,0,0,0,0,1,2,0,-1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
Em-3887,Accord SV4 Rear mount,4-B-3-5,9346140004470,04 Bronze,18,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Em-3888,Accord SV4 Rear mount,4-B-3-4,9346140004487,05 No Sales FY25,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-3889,"Accord, Odyssey RH mount",4-B-5-4,9346140004494,04 Bronze,13,0,1,0,0,0,0,1,-1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,-1,0,0,0,0,0,0,0
Em-3890,"BMW 116i-328i,118d-420d R L/R",4-B-4-4,9346140039670,04 Bronze,46,0,0,0,2,-1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,3,2,4,0,0,6,0,6,6,4,0,0,0,2,4,2,6,0
Em-3896,"Trans T5 2.0,2.5L 04-14 Front",4-B-4-3,9346140029794,04 Bronze,78,0,2,5,3,1,2,0,2,1,2,4,3,3,3,4,1,3,2,4,2,2,6,4,5,6,2,5,2,5,1,4,5,3,4,7,5,7
Em-3897,"Urvan E24,TD23 Front LH/RH mt",4-B-2-4,9346140004524,05 No Sales FY25,89,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0
Em-3900,"Laser KF,KH/323 Rear mount",4-B-3-3,9346140004531,04 Bronze,13,0,1,0,1,0,0,1,2,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,2,0,1,0,0,0,2
Em-3902,323/Laser KJ Front mount,4-B-2-3,9346140004548,04 Bronze,27,0,0,0,0,-2,0,2,0,0,3,1,0,0,1,-1,0,1,0,1,-1,2,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0
Em-3904,323/Laser KJ Rear mount,4-B-3-4,9346140004562,04 Bronze,9,0,0,0,-1,0,-1,0,-1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,2,0,2,4,1,0,1,-1,0,1,1,1,1,0
Em-3905,Laser KJ/323 Front mount,4-B-1-4,9346140004579,04 Bronze,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Em-3906,323/Laser KJ RH 94-98  ALL,4-B-1-5,9346140004586,04 Bronze,6,0,1,-1,0,2,1,2,2,1,0,1,1,0,0,1,0,1,0,4,0,0,0,1,2,0,0,2,2,2,1,0,0,0,1,1,1,1
Em-3907,323/Laser KJ LH mount,3-A-1-4,9346140004593,04 Bronze,7,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Em-3908,"Lancer CB,Lantra Rear mount",4-A-5-1,9346140004623,04 Bronze,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,1,0
Em-3909,"CHR ZYX10,Cor ZWE211 Rear CVT",4-A-4-1,9346140042632,04 Bronze,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,1,0,1,1,0
Em-3910,Mazda 323 V6 Front mount,4-A-5-2,9346140004647,05 No Sales FY25,58,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
